name,city,state,phone,website,source
D&S Quality Beef,Albertville,AL,(256) 659-4417,,assoc:AL
Mason Hills Farm,Mobile,AL,(251) 865-7748,,assoc:AL
Mathews Meat Market,Lineville,AL,(256) 396-5694,,assoc:AL
Perdido River Farms,Atmore,AL,(251) 368-0826,,assoc:AL
5R Custom Meats,Mt Vernon,AR,501-556-5077,5rcustommeats.com,assoc:AR
A-State University Meat Market,Jonesboro,AR,,,assoc:AR
AR Dept of Corrections (USDA Cold Storage),Grady,AR,,,assoc:AR
Arkansas Quality Processing,Dardanelle,AR,479-576-4419,,assoc:AR
B&R Meat Processing,Winslow,AR,479-634-2211,,assoc:AR
Bexar Ridge Meat Processing,Salem,AR,870-458-2164,,assoc:AR
Beyond Bovine Butchers,Paragould,AR,870-560-8266,,assoc:AR
Black's Custom Butchering,Royal,AR,501-760-1001,,assoc:AR
Burch Custom Butchering,Salem,AR,870-895-3467,,assoc:AR
Center Point FFA Meat Lab,Amity,AR,870-356-5292,,assoc:AR
Christie's Processing LLC,Magnolia,AR,870-696-5015,,assoc:AR
Clarksville Taxidermy and Meat Processing,Clarksville,AR,479-647-4082,clarksvilleprocessingandtaxidermy.com,assoc:AR
Cypress Valley Meat Co,Vilonia,AR,501-556-5055,,assoc:MO
Cypress Valley Meat Company,Pottsville,AR,479-968-6330,cypressvalleymeatcompany.com,assoc:AR
Daily Meats,Scranton,AR,479-938-2236,,assoc:AR
Deaton's Slaughterhouse,Caddo Gap,AR,870-356-4980,,assoc:AR
Delight Deer Processing and More,Delight,AR,870-807-4012,,assoc:AR
Ferguson's Packing Company,Atkins,AR,479-641-7604,fergusonspacking.com,assoc:AR
G.E. Hawthorn Meat Company INC.,Hot Springs,AR,501-762-2661,,assoc:AR
Griffith's Custom Butchering,Hot Springs,AR,501-321-4228,,assoc:AR
"Harpo's Das Butcher Haus & Farm, LLC",Green Forest,AR,870-438-6594,dasbutcherhaus.com,assoc:AR
J&D's Custom Meat Processing,Greenwood,AR,479-996-6328,,assoc:AR
JACO Meats LLC,Hope,AR,870-397-4189,jacomeats.com,assoc:AR
Kempf's Meat Processing,Ravenden Springs,AR,870-892-4555,,assoc:MO
Key's Family Butcher Shop,Van Buren,AR,479-474-1645,keysfamilybutchershop.com,assoc:AR
Lou's Deer Barn,Pottsville,AR,479-280-8042,,assoc:MO
Makin' Bacon Meat Processing,Yellville,AR,870-436-7675,makinbaconweaverfarms.com,assoc:AR
Marsolf Meat Processing,Mountain View,AR,870-269-6013,,assoc:AR
Mckiever's Wholesale and Retail Meats,Monticello,AR,870-367-9427,,assoc:AR
Mountain View Custom Butcher,Mountain View,AR,870-269-3063,,assoc:AR
NAPIER Meat Co & Processing,Paragould,AR,870-239-4881,,assoc:AR
Outdoor Creations Custom Processing,Cedarville,AR,479-461-2002,,assoc:AR
Ozark Custom Butchering,West Fork,AR,479-839-3177,,assoc:AR
Prime Country Meats,Horatio,AR,870-784-1792,,assoc:AR
Rice Custom Meat Processing,Rudy,AR,479-474-3012,ricecustommeatprocessing.com,assoc:AR
Ridge Runners Custom Meat,Ozark,AR,479-746-1864,,assoc:AR
Riggan & Sons Custom Slaughtering,Sheridan,AR,870-942-2239,,assoc:AR
Siloam Springs Processing LLC,Siloam Springs,AR,479-549-4115,,assoc:AR
Taylor's Ranch and Custom Meats,Ozark,AR,479-667-2442,taylorsranchandmeats.com,assoc:AR
The Backwoods Butcher,Paragould,AR,870-450-9431,thebackwoodsbutchercustommeatp.com,assoc:AR
Tilton's Processing,Harrison,AR,870-321-0895,,assoc:AR
Tim's Custom Meats,Prescott,AR,870-887-3362,timscustommeats.com,assoc:AR
TNL Meat Processing,Mena,AR,479-243-0112,,assoc:AR
Twin Lakes Packing & Processing Co. Inc.,Gassville,AR,870-435-6651,,assoc:AR
War Eagle Processing,Hindsville,AR,479-789-7525,wareagleprocessing.com,assoc:AR
Watson's Custom Slaughter,Rison,AR,870-325-6922,,assoc:AR
William's Baptist University,Walnut Ridge,AR,870-637-0054,,assoc:AR
Wynne Meat Processing,Wynne,AR,870-208-8352,,assoc:AR
Adam's Meat Shop,Folsom,CA,916-496-3020,adamsmeatshop.com,assoc:CA
Angelo's Meats,Petaluma,CA,707-763-9586,angelossmokehouse.com,assoc:CA
Arroyo Grande Meats,Arroyo Grande,CA,805-489-2693,,assoc:CA
Artisan Butcher,Valley Springs,CA,209-747-7452,marvalfoodstores.org,assoc:CA
Austin Meat Service LLC,Ripon,CA,209-599-4988,austinmeatservice.com,assoc:CA
Ben's Custom Meat Cutting,Atascadero,CA,805-466-2103,benscustommeatcutting.com,assoc:CA
Browns Valley Meat,Napa,CA,707-253-2480,brownsvalleymeat.com,assoc:CA
Browns Valley Meat Co. Inc.,Browns Valley,CA,530-741-2882,tuffstuffjerky.com,assoc:CA
Buckhorn Cafe Inc.,Winters,CA,530-795-4503,,assoc:CA
Bud's Custom Meats,Penngrove,CA,707-795-8402,budscustommeats.com,assoc:CA
Cal Poly San Luis Obispo (Meats Lab),San Luis Obispo,CA,,calpolymeats.com,assoc:CA
Cal State University Chico (Meats Lab),Chico,CA,530-898-6028,,assoc:CA
California Fresh Market,Pismo Beach,CA,805-295-7162,,assoc:CA
Caton & Sons Fine Meats,,CA,530-339-2719,,assoc:CA
Chico Locker & Sausage,Chico,CA,530-343-7370,chicolockersausage.com,assoc:CA
Corona Cattle Inc.,Corona,CA,951-737-5250,,assoc:CA
Corralitos Market,Corralitos,CA,831-722-2633,corralitosmarketsausagecompany.com,assoc:CA
Country Butcher,West Linda,CA,530-742-0284,countrybutcherca.com,assoc:CA
Dave's Meat Service,Modesto,CA,209-527-2861,davesmeatservice.com,assoc:CA
Dittmer's Gourmet Meats & Wurst Haus,Los Altos,CA,650-941-3800,dittmers.com,assoc:CA
