source,source_id,role,business_name,contact_name,phone,email,website,street,city,state,zip,address_full,services,inspection_status,usda_establishment_number,source_url,lat,lng,geocode_source
MAMP,mamp-564,processor,2ND AVE SAUSAGE COMPANY,Jon Christensen,(507) 273-0187,,,,Kasson,MN,55944,"Kasson, MN 55944",,,,https://www.mamponline.com/membership/directory/,43.989517,-92.718008,zip-centroid
MAMP,mamp-565,processor,3 HMONG SAUSAGE,Sophia Herr,(651) 307-2901,,,1214 Thomas Ave W,St. Paul,MN,55104,"1214 Thomas Ave W St. Paul, MN 55104","Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,44.95927444327,-93.151469521077,census-approx
MAMP,mamp-566,processor,AL'S BUTCHERS BLEND,Al Ousley,(218) 346-4015,,,43920 Fort Thunder Rd,Perham,MN,56573,"43920 Fort Thunder Rd Perham, MN 56573",Custom,,,https://www.mamponline.com/membership/directory/,46.610235,-95.542244,zip-centroid
MAMP,mamp-569,processor,B & E MEATS,Brent Epema,(218) 289-0916,,,332 crescent ave,Crookston,MN,56716,"332 crescent ave Crookston, MN 56716","Deer , Retail",,,https://www.mamponline.com/membership/directory/,47.763363478731,-96.603015583122,census-exact
MAMP,mamp-1637,processor,B & T Meats,,218-849-8684,,https://www.btmeats.com/home,3145 US-59,Waubun,MN,56589,"3145 US-59 Waubun, Minnesota 56589",,,,https://www.mamponline.com/membership/directory/,47.180937855181,-95.933192899943,census-exact
MAMP,mamp-1731,processor,BEAR COUNTRY MEATS LLC,Jon Hanenberger,(507) 951-6535,,,2136 19th Ave NW,Kasson,MN,55944,"2136 19th Ave NW Kasson, MN 55944",Custom,,,https://www.mamponline.com/membership/directory/,44.055452614078,-92.678102541807,census-exact
MAMP,mamp-571,processor,BEMIDJI DOWNTOWN MEATS,Dustin Merseth,(218) 751-5011,,,207 America Ave. N.W.,Bemidji,MN,56601,"207 America Ave. N.W. Bemidji, MN 56601","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,47.469571530913,-94.884326663751,census-exact
MAMP,mamp-574,processor,BIG STEER MEATS,Charles Cory,(651) 738-3636,,,1766 E Minnehaha Ave E,St Paul,MN,55106,"1766 E Minnehaha Ave E St Paul, MN 55106","Catering , Private Label , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,44.963027726717,-93.025895587798,census-approx
MAMP,mamp-575,processor,BLONDIES BUTCHER SHOP,Lindsey Fulton,(507) 824-2279,,,95 N. Main St.,Wanamingo,MN,55983,"95 N. Main St. Wanamingo, MN 55983","Catering , Custom , Retail",,,https://www.mamponline.com/membership/directory/,44.30530287411,-92.790688308442,census-approx
MAMP,mamp-576,processor,BLUE EARTH LOCKER,Zac Walters,(507) 382-1440,,,11719 169,Amboy,MN,56010,"11719 US HWY 169 Amboy, MN 56010","Custom , Retail",,,https://www.mamponline.com/membership/directory/,43.893243881217,-94.173050238066,census-approx
MAMP,mamp-577,processor,BORCHERT'S MEAT MARKET,Dave Borchert,(651) 777-9133,,,1344 Frost Avenue,Maplewood,MN,55109,"1344 Frost Avenue Maplewood, MN 55109",Retail,,,https://www.mamponline.com/membership/directory/,44.999186014941,-93.043854630359,census-exact
MAMP,mamp-1640,processor,BUTCHER BLOCK MEATS,,701-809-8458,,https://www.butcherblockmeatsllc.com/,214 15th St NE,Dilworth,MN,56529,"214 15th St NE Dilworth, MN 56529",,,,https://www.mamponline.com/membership/directory/,46.878919,-96.696187,zip-centroid
MAMP,mamp-1643,processor,CALLAHAN MEATS,,701-306-6636,,https://callahanmeats.com/,12595 160th Ave S,Barnesville,MN,56514,"12595 160th Ave S Barnesville, MN 56514",,,,https://www.mamponline.com/membership/directory/,46.659585889877,-96.534384098504,census-exact
MAMP,mamp-1646,processor,CANBY MEAT CENTER,,507-223-5292,,https://canbymeatcenter.com/,125 Saint Olaf Ave N,Canby,MN,56220,"125 Saint Olaf Ave N Canby, MN 56220",,,,https://www.mamponline.com/membership/directory/,44.708903946153,-96.276108543909,census-exact
MAMP,mamp-578,processor,CARLSON MEAT SHOP,Joel Inselmann,(320) 857-2261,,,32109 24,Kimball,MN,55353,"32109 HWY 24 Kimball, MN 55353","Custom , Retail",,,https://www.mamponline.com/membership/directory/,45.329098,-94.324629,zip-centroid
MAMP,mamp-581,processor,CHRIS FOOD CENTER,Fred Johnson,(320) 245-2229,,,320 123,Sandstone,MN,55072,"320 Hwy 123 Sandstone, MN 55072","Custom , Retail",,,https://www.mamponline.com/membership/directory/,46.142704,-92.584273,zip-centroid
MAMP,mamp-582,processor,CITY MEAT MARKET,Andrew Dammann,(320) 328-4411,,,106 4th Ave. N.,Brownton,MN,55312,"106 4th Ave. N. Brownton, MN 55312","Custom , Retail",,,https://www.mamponline.com/membership/directory/,44.732191193902,-94.352122629335,census-exact
MAMP,mamp-583,processor,CLEAN CHICKENS AND CO LLC,Rebecca Wierschke,(218) 308-1752,,,19227 Yale Street Northwest,Elk River,MN,55330,"19227 Yale Street Northwest Elk River, MN 55330",Custom,,,https://www.mamponline.com/membership/directory/,45.320328983627,-93.549494204134,census-exact
MAMP,mamp-585,processor,CONGER MEAT MARKET,Jeremy Johnson,(507) 265-3340,,,100 William Ave.,Conger,MN,56020,"100 William Ave. Conger, MN 56020","Custom , Deer , Online Sales , Private Label , Retail , Wholesale",,,https://www.mamponline.com/membership/directory/,43.614194420245,-93.531086975557,census-exact
MAMP,mamp-586,processor,COUNTRY BUTCHER SHOP,Joel Sonnek,(507) 525-1851,,,15623 480th Ave.,Easton,MN,56025,"15623 480th Ave. Easton, MN 56025","Custom , Retail",,,https://www.mamponline.com/membership/directory/,43.708813921687,-93.907488998289,census-exact
MAMP,mamp-587,processor,D&T'S MEAT MARKET,Clint Soleta,(507) 825-3914,,,220 2nd St. NW,Pipestone,MN,56164,"220 2nd St. NW Pipestone, MN 56164","Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,44.001362984479,-96.319482754485,census-exact
MAMP,mamp-588,processor,DEHMER'S MEATS INC.,Tony Dehmer,(763) 497-2455,,,401 Central Ave E,St. Michael,MN,55376,"401 Central Ave E St. Michael, MN 55376","Catering , Custom , Deer , Retail",,,https://www.mamponline.com/membership/directory/,45.209922490139,-93.656583423093,census-exact
